projectName,address,zipCode,safetyIndex,management,contactPhone,totalUnits,singleRoomOccupancy,studio,1_bedroom,2_bedroom,3_bedroom,4_bedroom
Bud Clark Commons,655 NW Hoyt St,97209,,Home Forward,503-280-4002,130,,130,,,,
Turning Point,6552 SW 19th Ave,97239,,Neighborhood House Portland,503-246-1663,24,,,24,,,
Alberta Simmons Plaza,6611 NE Martin Luther King Jr Blvd,97211,,Manor Management,503-240-4198,74,,,73,1,,
Martin Luther King Manor,6620 NE 6th Ave,97211,,Cascadia Behavioral Healthcare,503-286-4005,16,,,15,1,,
Minerva Plaza,6633 N Oberlin St,97203,,PHC Northwest,503-285-1070,15,,2,13,,,
Villa de Clara Vista,6706 NE Killingsworth St,97218,,Cascade Management Inc.,503-284-3985,133,,,50,72,8,3
Stephens Creek Crossing,6719 SW 26th Ave,97219,,Home Forward,503-280-3830,124,,,19,21,79,5
Country Squire,6724 SE 72nd Ave,97206,,Cascade Management Inc.,503-774-3893,32,,,8,16,8,
Bridgeview Apts,6816 N Trumbull Ave,97203,,Cascade Management Inc.,503-929-5924,13,,,13,,,
Interstate Crossing,6847 N Interstate Ave,97217,,Central City Concern,503-525-8483,12,,,,12,,
Charlotte B Rutherford Place,6905 N Interstate,97217,,Central City Concern,503-525-8483,51,,,34,17,,
Villa de Rosas,6939 NE Killingsworth St,97218,,Cascade Management Inc.,503-284-3985,26,,,10,16,,
West Gresham Apts,6939 NE Killingsworth St,97218,,Cascadia Behavioral Healthcare,503-238-0769,27,,,24,3,,
Dekum Court,7003 NE 27th Ave,97212,,Home Forward,503-280-3750,40,,,,16,24,
Lydia Roy Gardens,705 N Fremont St,97227,,Cascade Management Inc.,503-287-2162,18,,,7,7,4,
Golden West,707 NW Everett,97209,,Central City Concern,503-525-8483,68,,,,,,
72nd & Foster,7104 SE Foster,97206,,REACH Community Development Inc.,503-226-9181,101,,,,,,
Uptown Tower,712 SW St Clair Ave,97205,,Guardian Real Estate Services,503-248-9645,71,,,71,,,
Marwood Plaza,7200 SE Woodstock Blvd,97206,,PHC Northwest,503-408-6555,40,,8,32,,,
Park Tower Apts,731 SW Salmon St,97205,,Harsch Investment Corp.,503-227-3367,162,,140,22,,,
Stadium Station,737 SW 17th Ave,97205,,EPMI,503-916-4818,114,,54,56,4,,
Jim & Salle's Place,7531 SE Steele St,97206,,Cascade Management Inc.,503-761-0016,17,,,5,12,,
Nelson Court,7622 N Gloucester,97203,,Income Property Management,503-247-7222,7,,,2,5,,
Tistalal Village,7622 N Gloucester St,97203,,Income Property Management,503-247-7222,34,,,,34,,
Ceel Ocks,7622 N Glouchester St,97203,,Income Property Management,503-247-7222,4,,,,,4,
Melissa Anne Apts,7660 E Burnside St,97215,,Richard Gustafson,503-256-1562,20,,,,12,8,
Marysville,7704 SE Raymond,97206,,Rose Community Development Corp.,503-777-8845,5,,,,,,
Summer Run Apts,7810 SE Foster Rd,97206,,Manor Management,503-774-8885,50,,14,36,,,
Winchell Court,7850 N Interstate Ave,97217,,Home Forward,503-280-3750,10,,,8,2,,
Lexington Court,7860 SE 72nd Ave,97206,,Home Forward,503-280-3900,20,,,,12,8,
Bellrose Station,7901 SE 92nd Ave,97266,,Cascade Management Inc.,503-771-3808,40,,,,31,9,
La Hacienda Apartments,7906 SE 72nd Ave,97206,,PHC Northwest,503-261-1266,38,,1,1,35,1,
Second Wind Apts,7927 SW 31st Ave,97219,,Harold Buell,503-222-4122,20,,,12,6,2,
Johnson Creek Commons,7940 SE 72nd Ave,97206,,Cascade Management Inc.,503-774-3893,15,,,1,14,,
Richard L. Harris Building,8 NW 8th Ave,97209,,Central City Concern,503-525-8483,180,,180,,,,
Woodmere Commons,8002 SE Duke St,97206,,Rose Community Development Corp.,503-777-8845,4,,,,,,
Firland Apts,8012 SE Raymond St,97206,,Cascade Management Inc.,503-761-0016,19,,,2,17,,
Tea Link,8028 SE 7th Ave,97202,,Dungarvin Oregon LLC,,6,6,,,,,
Laurelhurst Apts,804 SE Cesar E Chavez Blvd,97214,,REACH Community Development Inc.,503-230-8918,23,,,23,,,
Taggart Manor,8066 SE Taggart St,97206,,Central City Concern,503-525-8483,24,,,24,,,
Orchard of 82nd,8118 SE Division St,97206,,Rose Community Development Corp.,503-777-8845,48,,,,,,
Broadway Vantage,8238 NE Broadway,97220,,Income Property Management,503-252-3136,58,,2,10,30,12,4
Columbia Knoll,8320 NE Sandy Blvd,97220,,Legacy Senior Living LLC,503-433-3645,362,,,183,143,36,
Fenwick Apts,8428 N Fenwick Ave,97217,,Income Property Management,503-335-3330,27,,,8,10,9,
Tryon Mews,8453 SW 30th Ave,97219,,Cascadia Behavioral Healthcare,503-238-0769,20,,,19,1,,
Hewitt Townhouses,846 SW 29th Wy,97219,,Income Property Management,503-667-9902,44,,,1,,43,
Kearney House,850 NW 20th Ave,97209,,Cambridge Real Estate Services,503-450-0230,32,,,,7,25,
Cathedral Gardens,8510 N Swift Way,97203,,Cascade Gardens Partners,503-286-8652,98,,,,52,46,
St Johns Woods,8652 N Swift Way,97203,,EPI Property Management,503-286-8652,124,,,26,52,46,
New Meadows,8710 N Dana Ave,97203,,Bridge Meadows,503-953-1100,15,,10,5,,,
Lafayette Court Apts,8728 SE Lafayette St,97266,,Cascadia Behavioral Healthcare,503-963-7767,5,5,,,,,
Pier Park Apts,8734 N Columbia Blvd,97203,,Steadfast Management,503-283-7747,164,,,44,88,32,
St Johns Apts,8803 N Lombard St,97203,,Income Property Management,503-223-6327,38,,,18,12,8,
Schrunk Riverview Tower,8832 N Syracuse St,97203,,Home Forward,503-280-3750,118,,,118,,,
Ridgecrest Timbers Apts,8870 N Columbia Blvd,97203,,GSL Properties,503-286-0102,97,,,21,51,25,
Miraflores,8901 N Newell Ave,97203,,Cascade Management Inc.,503-289-4802,32,,,,12,16,4
Reedway Place,8940 SE Reedway St,97266,,Rose Community Development Corp.,503-777-8845,24,,,,,,
Erickson-Fritz Apts,9 NW 2nd Ave,97209,,Income Property Management,503-223-6327,62,,39,23,,,
Candalaria Plaza,901 SE 162nd Ave,97233,,PHC Northwest,503-261-1266,32,,,8,16,8,
Central Chalet Apts,9020 N Central St,97203,,PHC Northwest,503-285-1070,20,,,11,9,,
Admiral Apts,910 SW Park Ave,97205,,REACH Community Development Inc.,503-546-9191,37,,14,23,,,
Lents Commons,9101 SE Foster,97266,,Income Property Management,503-702-9075,54,,3,36,6,9,
Multnomah Manor,9110 NE Hassalo St,97220,,Quantum Residential,503-253-6351,53,,,24,17,12,
Oleson Woods Apts,9140 SW 91st Ave,97223,,Income Property Management,503-245-6990,32,,,4,,21,7
Dahlke Manor,915 NE Schuyler St,97212,,Home Forward,503-280-3750,115,,,115,,,
Pearl Court Apts,920 NW Kearney St,97209,,Income Property Management,503-222-1999,199,,112,59,28,,
Fountain Place,929 SW Salmon St,97205,,Cascade Management Inc.,503-223-9300,70,,52,15,3,,
Beyer Court,9305 SE Harold St,97266,,Cascade Management Inc.,503-777-8845,14,,,,14,,
Schiller Way,9326 SE Schiller St,97266,,Quantum Residential,503-760-3005,24,,,,12,8,4
The Yards,945 NW Naito Parkway,97209,,Income Property Management,971-255-1654,129,,129,,,,
Kah San Chako Haws,9707 SE Holgate Blvd,97266,,Guardian Real Estate Services,503-943-5849,9,,3,3,3,,
D Street Salal Apartments,SE 171st Ave and SE Division,97233,,PHC Northwest,503-261-1266,78,,12,24,42,,
