County,Project Name,Address,City,Management ,Contact Phone,Total Units,Single Room Occupancy,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms
Multnomah,Multnomah Manor,9110 NE Hassalo St,Portland,Quantum Residential,503-253-6351,53,,,24,17,12,
Multnomah,Musolf Manor,216 NW 3rd Ave,Portland,Income Property Management,503-223-1547,95,,95,,,,
Multnomah,Myers Court,2600 N Williams Ave,Portland,Quad Inc.,503-287-4260,19,,19,,,,
Multnomah,Nawikka Court Apts,5110 SE 76th Ave,Portland,Cascadia Behavioral Healthcare,503-774-4335,16,,,15,1,,
Multnomah,NAYA Generations,5205 SE 86th Ave,Portland,Guardian Real Estate Services,503-802-3600,40,,,22,8,4,6
Multnomah,Nelson Court,7622 N Gloucester,Portland,Income Property Management,503-247-7222,7,,,2,5,,
Multnomah,New Columbia,4605 N Trenton St,Portland,Income Property Management,503-943-5600,539,,,97,192,132,118
Multnomah,New Meadows,8710 N Dana Ave,Portland,Bridge Meadows,503-953-1100,15,,10,5,,,
Multnomah,North Oswego House,10036 N Oswego Ave,Portland,NARA NW,503-224-1044,5,5,,,,,
Multnomah,Northwest Tower,335 NW 19th Ave,Portland,Home Forward,503-280-3880,174,,63,81,27,3,
Multnomah,Orchard of 82nd,8118 SE Division St,Portland,Rose Community Development Corp.,503-777-8845,48,,,,,,
Multnomah,Otesha Place,1484 NE Alberta St,Portland,Sabin Community Development Corp.,503-287-3496,11,,,,11,,
Multnomah,Outside In,1132 SW 13th Ave,Portland,Outside In,503-535-3800,10,10,,,,,
Multnomah,Pacific Tower Apts,333 NW 4th Ave,Portland,Pinnacle Realty Management,503-224-9393,156,,34,111,11,,
Multnomah,Park 132 Apartments,13130 SE Powell Blvd,Portland,PHC Northwest,503-760-7359,19,,,,19,,
Multnomah,Park Terrace,315 N Alberta St,Portland,Cascade Management Inc.,503-282-6111,88,,,88,,,
Multnomah,Park Tower Apts,731 SW Salmon St,Portland,Harsch Investment Corp.,503-227-3367,162,,140,22,,,
Multnomah,Park Vista,10918 SE Stark St,Portland,Human Solutions,844-277-5320,59,,7,17,8,17,10
Multnomah,Patton Home,4619 N Michigan Ave,Portland,Income Property Management,503-281-1844,63,63,,,,,
Multnomah,Patton Park Apts,5272 N Interstate Ave,Portland,REACH Community Development Inc.,971-255-4444,47,,2,31,3,11,
Multnomah,PCRI Scattered Site Project,37 NE 127th Ave,Portland,PCRI,503-288-2923,11,,,,,11,
Multnomah,Peaceful Villa,2835 SE 47th Ave,Portland,Home Forward,503-280-3750,69,,8,53,8,,
Multnomah,Pearl Court Apts,920 NW Kearney St,Portland,Income Property Management,503-222-1999,199,,112,59,28,,
Multnomah,Peter Paulson Apts,1530 SW 13th Ave,Portland,Cascade Management Inc.,503-294-2091,93,92,,1,,,
Multnomah,Peyton Plaza,12713 SE Powell Blvd,Portland,ColumbiaCare Services Inc.,541-858-8170,22,,,8,14,,
Multnomah,Pier Park Apts,8734 N Columbia Blvd,Portland,Steadfast Management,503-283-7747,164,,,44,88,32,
Multnomah,Pine Point Apts,12025 SE Pine St,Portland,Cascade Management Inc.,971-270-6949,24,,10,12,2,,
Multnomah,The Pines,140 SE 188th Ave,Portland,Human Solutions,503-666-5310,66,,,4,50,12,
Multnomah,Pioneer Abodes,220 SE 106th Ave,Portland,PHC Northwest,503-261-1266,10,,,6,4,,
Multnomah,Plaza de Cedro,10801 NE Fremont St,Portland,Cascade Management Inc.,503-335-9603,6,,,,,4,2
Multnomah,Plaza Townhomes,5802 N Michigan Ave,Portland,Home Forward,503-280-3860,68,,,,34,34,
Multnomah,Powell Blvd. Apts,2105 SE Powell Blvd,Portland,REACH Community Development Inc.,503-231-3055,19,,3,14,2,,
Multnomah,Powell Court Villa,12540 SE Powell Ct,Portland,Affinity Property Management,503-761-6068,68,,,,46,22,
Multnomah,Powell Plaza,13320 SE Powell Blvd,Portland,Heartland Realty,503-761-7650,67,,24,43,,,
Multnomah,Powellhurst Woods,11200 SE Holgate Blvd,Portland,Home Forward,503-280-3750,34,,,,23,11,
Multnomah,Prescott Place,5802 NE Prescott St,Portland,REACH Community Development Inc.,503-288-4487,20,,,20,,,
Multnomah,Prescott Terrace,5725 NE Prescott St,Portland,Cascadia Behavioral Healthcare,503-232-6971,50,,,,,,
Multnomah,Providence House,5921 E Burnside,Portland,Providence Supportive Housing,503-215-2234,39,,,,,,
Multnomah,Queahpama Heights,6244 N Columbia Way,Portland,Low Income Housing for Native Americans,503-247-7222,32,,,14,18,,
Multnomah,Ramona Apts,1550 NW 14th Ave,Portland,Pinnacle Realty Management,503-688-6008,139,,,9,60,70,
Multnomah,Reedway Place,8940 SE Reedway St,Portland,Rose Community Development Corp.,503-777-8845,24,,,,,,
Multnomah,Rex Arms,1230 SE Morrison St,Portland,REACH Community Development Inc.,503-238-2915,62,,21,41,,,
Multnomah,Richard L. Harris Building,8 NW 8th Ave,Portland,Central City Concern,503-525-8483,180,,180,,,,
Multnomah,Richmond Place,4147 SE Division St,Portland,Impact Northwest,503-988-6000,20,20,,,,,
Multnomah,Ridgecrest Timbers Apts,8870 N Columbia Blvd,Portland,GSL Properties,503-286-0102,97,,,21,51,25,
Multnomah,Ritzdorf Court,1225 SE Belmont St,Portland,REACH Community Development Inc.,503-233-8985,85,,82,3,,,
Multnomah,Rockwood Building,124 NE 181st Ave,Portland,Human Solutions,844-230-1495,47,,16,16,15,,
Multnomah,Rockwood Landing,19045 SE Yamhill,Portland,Home Forward,503-661-3327,37,,,,12,17,8
Multnomah,Rose City Condos,scattered sites,Portland,ColumbiaCare Services Inc.,541-858-8170,4,,,,,,
Multnomah,Rose Schnitzer Tower,1430 SW 12th Ave,Portland,Harsch Investment Properties,503-222-7467,233,,,,,,
Multnomah,Rosewood Plaza,18173 NE Couch St,Portland,Human Solutions,844-232-1495,45,,,,,,
Multnomah,Roselyn Apts,424 NW 21st Ave,Portland,Cascade Management Inc.,503-288-4220,31,,30,1,,,
Multnomah,Rosemont Court,597 North Dekum St,Portland,Income Property Management,503-240-8087,100,,8,88,4,,
Multnomah,Rosemont Townhomes,621 N Saratoga St,Portland,Income Property Management,503-240-8087,18,,,,4,12,2
Multnomah,Rosenbaum Plaza,1218 SW Washington St,Portland,Quantum Residential,503-228-5355,76,76,,,,,
Multnomah,Royal Palm,310 NW Flanders St,Portland,Cascadia Behavioral Healthcare,503-827-3949,30,30,,,,,
Multnomah,Ruth Haefner Plaza,6005 SW Beaverton-Hillsdale Hwy,Portland,Home Forward,503-280-3750,73,,,73,,,
Multnomah,Sacred Heart Villa,3911 SE Milwaukie Ave,Portland,Cascade Management Inc.,503-232-1466,68,,6,45,17,,
Multnomah,Safehaven Shelter,4610 N Maryland Ave,Portland,YWCA of Greater Portland,503-535-3270,13,10,,,3,,
Multnomah,Sally McCracken,532 NW Everett St,Portland,Central City Concern,503-525-8483,95,95,,,,,
Multnomah,Sandy Apts,11401 NE Sandy Blvd,Portland,Luke-Dorf Inc.,503-726-3690,14,,,,,,
Multnomah,Schiller Way,9326 SE Schiller St,Portland,Quantum Residential,503-760-3005,24,,,,12,8,4
Multnomah,Schrunk Riverview Tower,8832 N Syracuse St,Portland,Home Forward,503-280-3750,118,,,118,,,
Multnomah,Scott Crest Plaza Apts,13223 SE Powell Blvd,Portland,PHC Northwest,503-760-7359,42,,,4,32,6,
Multnomah,Second Wind Apts,7927 SW 31st Ave,Portland,Harold Buell,503-222-4122,20,,,12,6,2,
Multnomah,Sellwood Center,1724 SE Tenino St,Portland,Home Forward,503-280-3940,110,,106,4,,,
Multnomah,Sequoia Square Apts,247 SE 160th Ave,Portland,Cascade Management Inc.,503-408-8886,62,,10,,38,10,4
Multnomah,Shaver Green,375 NE Shaver St,Portland,Pinnacle Realty Management,503-282-2769,85,,,59,25,1,
Multnomah,Shoreline Building,123 W Burnside St,Portland,Central City Concern,503-525-8483,62,,62,,,,
Multnomah,Silvercrest Residence,1865 NE Davis St,Portland,Quantum Residential,503-236-2320,76,,,75,1,,
Multnomah,Sitka Apts,1115 NW Northrup St,Portland,Pinnacle Realty Management,503-306-3400,209,,60,102,47,,
Multnomah,Slavin Court,4702 SW Slavin Rd,Portland,Home Forward,503-280-3750,24,,,,18,6,
Multnomah,The Snowberry,117 SE 151st Ave,Portland,PHC Northwest,503-261-1266,27,,,13,14,,
Multnomah,Springtree Apts,650 SE 162nd Ave,Portland,Pacificap Management,503-253-1476,72,,,20,52,,
Multnomah,Springwater Commons,6430 SE 128th Ave,Portland,Guardian Real Estate Services,503-762-4688,36,,,,,13,23
Multnomah,St Anthony's Village,3560 SE 79th Ave,Portland,St Anthony Management,503-775-4414,126,,96,23,7,,
Multnomah,St Francis Apts,1024 SW Main St,Portland,Cascade Management Inc.,503-223-2161,132,,106,16,10,,
Multnomah,St Francis Park,1177 SE Stark,Portland,Cascade Management Inc.,503-704-2360,106,,77,28,1,,
Multnomah,St Francis Place,4941 NE 10th Ave,Portland,PCRI,503-288-2923,3,,,3,,,
Multnomah,St James Apts,1320 SW 10th Ave,Portland,GSL Properties,503-226-4778,109,,41,46,22,,
Multnomah,St Johns Apts,8803 N Lombard St,Portland,Income Property Management,503-223-6327,38,,,18,12,8,
Multnomah,St Johns Woods,8652 N Swift Way,Portland,EPI Property Management,503-286-8652,124,,,26,52,46,
Multnomah,Stadium Station,737 SW 17th Ave,Portland,EPMI,503-916-4818,114,,54,56,4,,
Multnomah,Stark Street Villa,450 SE 127th Ave,Portland,Cascade Management Inc.,503-256-6275,60,,,36,24,,
Multnomah,Station Place Tower,1020 NW 9th Ave,Portland,REACH Community Development Inc.,503-546-4646,176,,36,125,15,,
Multnomah,Station 162,304 SE 162nd Ave,Portland,Quad Inc.,503-287-4260,43,,,41,2,,
Multnomah,Stephens Creek Crossing,6719 SW 26th Ave,Portland,Home Forward,503-280-3830,124,,,19,21,79,5
Multnomah,Summer Run Apts,7810 SE Foster Rd,Portland,Manor Management,503-774-8885,50,,14,36,,,
Multnomah,Sunrise Place,5724 NE Prescott St,Portland,Central City Concern,503-525-8483,10,,,9,1,,
Multnomah,Taggart Manor,8066 SE Taggart St,Portland,Central City Concern,503-525-8483,24,,,24,,,
Multnomah,Tamarack Apts,4111 N Alaska St,Portland,Home Forward,503-280-3750,118,,,48,60,10,
Multnomah,Taylor Street Apts,1330 SE Taylor St,Portland,REACH Community Development Inc.,503-760-0907,10,,,4,6,,
Multnomah,Tea Link,8028 SE 7th Ave,Portland,Dungarvin Oregon LLC,,6,6,,,,,
Multnomah,Tenino Terrace,2405 SE Umatilla St,Portland,Heartland Realty,503-234-6785,94,,,23,71,,
Multnomah,Tillicum Court Apts,5135 SE 73rd Ave,Portland,Cascadia Behavioral Healthcare,"503-238-0769,",16,,3,12,1,,
Multnomah,Tistalal Village,7622 N Gloucester St,Portland,Income Property Management,503-247-7222,34,,,,34,,
Multnomah,Townhouse Terrace,3001 SE 136th Ave,Portland,Home Forward,503-280-3750,32,,,,20,12,
Multnomah,Trenton Terrace,4720 N Trenton St,Portland,Income Property Management,503-283-0966,66,,,65,1,,
Multnomah,Tryon Mews,8453 SW 30th Ave,Portland,Cascadia Behavioral Healthcare,503-238-0769,20,,,19,1,,
Multnomah,Turning Point,6552 SW 19th Ave,Portland,Neighborhood House Portland,503-246-1663,24,,,24,,,
Multnomah,Unthank Plaza Apts,2500 N Williams Ave,Portland,Quantum Residential,503-287-1258,80,,,80,,,
Multnomah,Upshur House,2650 NW Upshur St,Portland,Cascade Management Inc.,503-226-3485,30,,,8,12,10,
Multnomah,Uptown Tower,712 SW St Clair Ave,Portland,Guardian Real Estate Services,503-248-9645,71,,,71,,,
Multnomah,Vermont Springs,1825 SW Vermont St,Portland,Cascadia Behavioral Healthcare,503-232-6971,14,,,14,,,
Multnomah,Victorian Apts,2255 W Burnside St,Portland,Guardian Real Estate Services,503-294-0960,62,,40,22,,,
Multnomah,Villa de Clara Vista,6706 NE Killingsworth St,Portland,Cascade Management Inc.,503-284-3985,133,,,50,72,8,3
Multnomah,Villa de Rosas,6939 NE Killingsworth St,Portland,Cascade Management Inc.,503-284-3985,26,,,10,16,,
Multnomah,Villa de Suenos,6444 NE Killingsworth St,Portland,Cascade Management Inc.,503-284-3985,28,,,,,14,14
Multnomah,Villa de Mariposa,5020 NE Killingsworth St,Portland,Cascade Management Inc.,503-493-1315,71,,,,9,35,27
Multnomah,Village at Lovejoy Fountain,245 SW Lincoln St,Portland,VLF Properties,503-223-5314,198,,45,109,44,,
Multnomah,Village at the Headwaters,3131 SW Marigold St,Portland,Cascade Management Inc.,503-244-1544,56,,,35,21,,
Multnomah,Village Gardens,15230 NE Sandy Blvd,Portland,Bowen Property Management,503-253-2273,59,,6,18,31,4,
Multnomah,Walnut Park Apts,5272 NE 6th Ave,Portland,REACH Community Development Inc.,503-282-7449,38,,,38,,,
Multnomah,The Watershed,6388 SW Capitol Hwy,Portland,Income Property Management,503-452-0010,51,,,48,3,,
Multnomah,Weidler Commons,1529 NE 21st Ave,Portland,Cascade Management Inc.,503-281-9298,51,,3,47,1,,
Multnomah,West Gresham Apts,6939 NE Killingsworth St,Portland,Cascadia Behavioral Healthcare,503-238-0769,27,,,24,3,,
Multnomah,Westmoreland Union Manor,6404 SE 23rd Ave,Portland,Manor Management,503-233-5671,301,,210,90,1,,
Multnomah,WestShore Apts,222 SW Pine St,Portland,REACH Community Development Inc.,503-827-7918,113,,105,8,,,
Multnomah,Williams Plaza,2041 NW Everett St,Portland,Home Forward,503-280-3750,101,,67,34,,,
Multnomah,The Wilshire,420 SE Grand Ave,Portland,REACH Community Development Inc.,503-235-2941,42,,,42,,,
Multnomah,Winchell Court,7850 N Interstate Ave,Portland,Home Forward,503-280-3750,10,,,8,2,,
Multnomah,Woodmere Commons,8002 SE Duke St,Portland,Rose Community Development Corp.,503-777-8845,4,,,,,,
Multnomah,Woodstock Court,6428 SE 97th Ave,Portland,Cascadia Behavioral Healthcare,503-232-6971,9,,8,1,,,
Multnomah,Woody Guthrie,5808 SE 91st,Portland,Rose Community Development Corp.,503-777-8845,64,,,,,,
Multnomah,Wygant Street Apts,4808 NE 8th Ave,Portland,PCRI,503-288-2923,7,,,,7,,
Multnomah,The Yards,945 NW Naito Parkway,Portland,Income Property Management,971-255-1654,129,,129,,,,
Multnomah,Cherry Ridge Apts,2295 SW Sturges Ln,Troutdale,GSL Properties,503-618-0186,160,,,80,80,,
Multnomah,Hewitt Townhouses,846 SW 29th Wy,Troutdale,Income Property Management,503-667-9902,44,,,1,,43,
Multnomah,Troutdale Terrace Apts,639 SW 257th Ave,Troutdale,Quantum Residential,503-618-1876,228,,,24,152,52,
Multnomah,Oleson Woods Apts,9140 SW 91st Ave,Tigard,Income Property Management,503-245-6990,32,,,4,,21,7
